Case 1 - Low Confidence ( 2393 )
==================================================
HYPONYM(europe, cities)
HYPONYM(parish, parishes)
HYPONYM(johnson, members)
HYPONYM(principles, directives)
HYPONYM(great_britain, countries)
HYPONYM(security, employees)
HYPONYM(plants, debris)
HYPONYM(home_appliances, devices)
HYPONYM(jewelry, property)
HYPONYM(control_center, equipment)
HYPONYM(bodices, bombshells)
HYPONYM(fertilizers, nutrients)
HYPONYM(part, furniture)
HYPONYM(addition, consultants)
HYPONYM(torture, ill-treatment)
HYPONYM(court, lawyers)
HYPONYM(deer, mammals)
HYPONYM(churches, forums)
HYPONYM(floor_plans, materials)
HYPONYM(legal_representation, homelessness)
HYPONYM(epilepsy, ailments)
HYPONYM(oats, commodities)
HYPONYM(unions, donors)
HYPONYM(delaware, members)
HYPONYM(athletes, students)
HYPONYM(sausages, cold_cuts)
HYPONYM(french, languages)
HYPONYM(anal_sex, sexual_activities)
HYPONYM(friends, customers)
HYPONYM(dell, vendors)
HYPONYM(indonesia, nations)
HYPONYM(foundations, donors)
HYPONYM(ocotillo, cactus)
HYPONYM(tax_evasion, offenses)
HYPONYM(stars, actors)
HYPONYM(ukraine, nations)
HYPONYM(state, worthies)
HYPONYM(charities, organizations)
HYPONYM(mexicans, latin_americans)
HYPONYM(whites, asians)
HYPONYM(cantonese, languages)
HYPONYM(cinnamon, essences)
HYPONYM(trade, concessions)
HYPONYM(rodents, vermin)
HYPONYM(tricksters, deviants)
HYPONYM(telecommunications, technologies)
HYPONYM(power_grids, sources)
HYPONYM(men, magazines)
HYPONYM(falcons, performers)
HYPONYM(movies, artworks)
HYPONYM(rides, attractions)
HYPONYM(speech, symptoms)
HYPONYM(gospel, singers)
HYPONYM(rarities, contemporaries)
HYPONYM(water, stay)
HYPONYM(japan, chefs)
HYPONYM(helmets, equipment)
HYPONYM(state, political_leaders)
HYPONYM(kazoos, noisemakers)
HYPONYM(box_office, revenues)
HYPONYM(stalin, leaders)
HYPONYM(information, data)
HYPONYM(kidneys, organs)
HYPONYM(dell, competitors)
HYPONYM(schools, properties)
HYPONYM(laboratories, equipment)
HYPONYM(bear_grass, shrubs)
HYPONYM(objections, responses)
HYPONYM(advocates, officials)
HYPONYM(embezzlement, crimes)
HYPONYM(politicians, leaders)
HYPONYM(lebanon, countries)
HYPONYM(art, art)
HYPONYM(writers, experts)
HYPONYM(busts, trinkets)
HYPONYM(builders, borrowers)
HYPONYM(work, community_service)
HYPONYM(showers, utilities)
HYPONYM(buildings, construction)
HYPONYM(drug_addicts, players)
HYPONYM(roman_catholics, christians)
HYPONYM(concerts, activities)
HYPONYM(bank, banks)
HYPONYM(mongolia, mexico)
HYPONYM(pentagon, officials)
HYPONYM(osteoarthritis, illnesses)
HYPONYM(printers, gadgets)
HYPONYM(imams, arbitrators)
HYPONYM(caribou, mammals)
HYPONYM(osprey, wildlife)
HYPONYM(thieves, deviants)
HYPONYM(structures, characteristics)
HYPONYM(fertilizers, sources)
HYPONYM(lawsuits, actions)
HYPONYM(parsley, herbs)
HYPONYM(anthropologists, scholars)
HYPONYM(doctors, africa)
HYPONYM(portables, computer_systems)
HYPONYM(harbors, waterways)
HYPONYM(astronauts, employees)
HYPONYM(cigarette_butts, rubble)
HYPONYM(entertainment, transactions)
HYPONYM(soda_water, beverages)
HYPONYM(dean_martin, friends)
HYPONYM(power, capabilities)
HYPONYM(software, systems)
HYPONYM(song, airlines)
HYPONYM(contracts, legal_documents)
HYPONYM(commercials, movies)
HYPONYM(glaucoma, diseases)
HYPONYM(cups, odds)
HYPONYM(plastic, cargo)
HYPONYM(artillery, weapons)
HYPONYM(dishwashers, workers)
HYPONYM(trips, new_york)
HYPONYM(police_chief, leaders)
HYPONYM(art, collectibles)
HYPONYM(musicians, tapsters)
HYPONYM(doors, hardware)
HYPONYM(banks, pillars)
HYPONYM(black_lung, occupational_diseases)
HYPONYM(tack, services)
HYPONYM(interrogations, intelligence)
HYPONYM(electricians, workers)
HYPONYM(books, materials)
HYPONYM(handbags, totems)
HYPONYM(freeman, finalists)
HYPONYM(tuberculosis, illnesses)
HYPONYM(research, operations)
HYPONYM(images, methods)
HYPONYM(magazines, products)
HYPONYM(grass, materials)
HYPONYM(deer, animals)
HYPONYM(educators, experts)
HYPONYM(racketeering, offenses)
HYPONYM(works, boston)
HYPONYM(shoes, accessories)
HYPONYM(sugar, foodstuffs)
HYPONYM(cook, observers)
HYPONYM(mouse, peripherals)
HYPONYM(breaks, atlanta)
HYPONYM(pets, animals)
HYPONYM(sections, february)
HYPONYM(martin, casper)
HYPONYM(ibis, seabirds)
HYPONYM(dress, things)
HYPONYM(pneumonia, health_problems)
HYPONYM(children, spectators)
HYPONYM(drummers, musicians)
HYPONYM(sinatra, singers)
HYPONYM(lobster, seafood)
HYPONYM(orchids, wildflowers)
HYPONYM(detail, uses)
HYPONYM(signs, memorabilia)
HYPONYM(scholars, researchers)
HYPONYM(brains, nerve_tissue)
HYPONYM(shell, mexico)
HYPONYM(novellas, fiction)
HYPONYM(women, workers)
HYPONYM(mortars, heavy_weapons)
HYPONYM(hares, creatures)
HYPONYM(research, efforts)
HYPONYM(insurance_brokers, professionals)
HYPONYM(benefits, items)
HYPONYM(sailors, young_men)
HYPONYM(colleagues, members)
HYPONYM(hyssop, herbs)
HYPONYM(cookies, goodies)
HYPONYM(canada, north_america)
HYPONYM(security, expenses)
HYPONYM(painting, media)
HYPONYM(apples, carbohydrates)
HYPONYM(support, foreign_policies)
HYPONYM(cars, durable_goods)
HYPONYM(properties, real_estate)
HYPONYM(servers, components)
HYPONYM(meat, food)
HYPONYM(chocolates, sweets)
HYPONYM(experts, dealers)
HYPONYM(australia, nations)
HYPONYM(programs, circulation)
HYPONYM(land, natural_resources)
HYPONYM(brother, investors)
HYPONYM(bluegills, panfish)
HYPONYM(chancellor, officials)
HYPONYM(bears, mammals)
HYPONYM(mozart, giants)
HYPONYM(suppliers, creditors)
HYPONYM(buildings, property)
HYPONYM(churches, properties)
HYPONYM(new_york, magazines)
HYPONYM(dentists, health_care_providers)
HYPONYM(hotel, florida)
HYPONYM(developers, entrepreneurs)
HYPONYM(spam, crimes)
HYPONYM(height, information)
HYPONYM(truck_drivers, foreigners)
HYPONYM(puppies, animals)
HYPONYM(italy, athens)
HYPONYM(businessmen, foreigners)
HYPONYM(grease, debris)
HYPONYM(conflicts, problems)
HYPONYM(loosestrife, denizens)
HYPONYM(cats, mammals)
HYPONYM(graduations, celebrations)
HYPONYM(cameras, equipment)
HYPONYM(state, dignitaries)
HYPONYM(nursing_homes, health_facilities)
HYPONYM(teachers, stakeholders)
HYPONYM(materials, student)
HYPONYM(stern, magazines)
HYPONYM(herbalists, practitioners)
HYPONYM(ways, recourse)
HYPONYM(balls, outfielders)
HYPONYM(games, software)
HYPONYM(coaches, adults)
HYPONYM(palestinians, critics)
HYPONYM(multiplexers, devices)
HYPONYM(rivers, waterways)
HYPONYM(flea_beetles, insects)
HYPONYM(sexual_abuse, offenses)
HYPONYM(bipolar_disorder, mental_disorders)
HYPONYM(meeting_places, hideouts)
HYPONYM(economists, experts)
HYPONYM(dirt, crud)
HYPONYM(vacations, items)
HYPONYM(laptop_computers, devices)
HYPONYM(areas, habitat)
HYPONYM(wind, forms)
HYPONYM(bereavements, heartbreaks)
HYPONYM(atmosphere, amenities)
HYPONYM(dell, manufacturers)
HYPONYM(popular_music, arts)
HYPONYM(leipzig, airports)
HYPONYM(humans, organisms)
HYPONYM(editors, journalists)
HYPONYM(desktops, computer_systems)
HYPONYM(legislators, policy_makers)
HYPONYM(dill, taproots)
HYPONYM(corporate_executives, notables)
HYPONYM(museums, forums)
HYPONYM(dry_cleaners, retail_stores)
HYPONYM(chairman, members)
HYPONYM(stereos, consumer_goods)
HYPONYM(orchestras, organizations)
HYPONYM(political_parties, beneficiaries)
HYPONYM(fires, problems)
HYPONYM(heart_disease, ills)
HYPONYM(council_members, elected_officials)
HYPONYM(literature, arts)
HYPONYM(crate, retailers)
HYPONYM(thomas_edison, clients)
HYPONYM(fabrics, items)
HYPONYM(mushrooms, vegetables)
HYPONYM(kidnappers, criminals)
HYPONYM(poland, mexico)
HYPONYM(location, computer)
HYPONYM(sheets, items)
HYPONYM(entrepreneurs, travelers)
HYPONYM(security, products)
HYPONYM(president, executives)
HYPONYM(real_estate_investment_trusts, businesses)
HYPONYM(soup, food_products)
HYPONYM(centers, institutions)
HYPONYM(analysts, outsiders)
HYPONYM(spike_lee, alumni)
HYPONYM(bartenders, folks)
HYPONYM(patches, products)
HYPONYM(lamb, offal)
HYPONYM(politicians, supporters)
HYPONYM(chile, south_american_countries)
HYPONYM(nieces, relatives)
HYPONYM(new_york, authorities)
HYPONYM(conditions, benefits)
HYPONYM(codeine, opiates)
HYPONYM(members, experts)
HYPONYM(paul_simon, musicians)
HYPONYM(calendar, software)
HYPONYM(vents, hardware)
HYPONYM(nasser, students)
HYPONYM(president_bush, elected_officials)
HYPONYM(legislation, proposals)
HYPONYM(food, cargo)
HYPONYM(resignations, attrition)
HYPONYM(chandeliers, hardware)
HYPONYM(scholars, professionals)
HYPONYM(goggles, equipment)
HYPONYM(parks, venues)
HYPONYM(shows, entertainment)
HYPONYM(essential_oils, chemicals)
HYPONYM(founder, synagogue)
HYPONYM(duets, country_music)
HYPONYM(passenger_ships, vessels)
HYPONYM(trees, debris)
HYPONYM(sandals, accessories)
HYPONYM(stocks, securities)
HYPONYM(mass_murders, crimes)
HYPONYM(cabinet_ministers, notables)
HYPONYM(smallpox, infectious_diseases)
HYPONYM(educators, critics)
HYPONYM(esophageal_reflux, gastrointestinal_disorders)
HYPONYM(watches, jewelry)
HYPONYM(angola, countries)
HYPONYM(communities, lawmakers)
HYPONYM(egypt, iraq)
HYPONYM(igloos, oddities)
HYPONYM(peas, legumes)
HYPONYM(sprinters, athletes)
HYPONYM(students, residents)
HYPONYM(banks, originators)
HYPONYM(saudis, muslims)
HYPONYM(wood, debris)
HYPONYM(ospreys, raptors)
HYPONYM(air-conditioning, comforts)
HYPONYM(chicken, fast_food)
HYPONYM(lights, items)
HYPONYM(elephants, herbivores)
HYPONYM(robbery, offenses)
HYPONYM(jews, jews)
HYPONYM(addresses, customers)
HYPONYM(states, municipalities)
HYPONYM(souvenirs, possessions)
HYPONYM(cash, incentives)
HYPONYM(schedules, information)
HYPONYM(india, nuclear_weapons)
HYPONYM(stanford_university, employers)
HYPONYM(iraq, iraq)
HYPONYM(shrimp, protein)
HYPONYM(andy_warhol, artists)
HYPONYM(shawls, textiles)
HYPONYM(lawyers, critics)
HYPONYM(scientists, scholars)
HYPONYM(teachers, adults)
HYPONYM(chickens, animals)
HYPONYM(schools, areas)
HYPONYM(steel, equipment)
HYPONYM(strikes, attacks)
HYPONYM(timetable, information)
HYPONYM(queen, revelers)
HYPONYM(martha_graham, choreographers)
HYPONYM(intelligence_analysts, iraq)
HYPONYM(japan, iraq)
HYPONYM(greece, passengers)
HYPONYM(watches, items)
HYPONYM(liberty, varieties)
HYPONYM(vodka, hard_liquors)
HYPONYM(silver_stars, valor)
HYPONYM(mucus, fluids)
HYPONYM(mercury, contaminants)
HYPONYM(joplin, composers)
HYPONYM(life, artists)
HYPONYM(high_blood_pressure, ailments)
HYPONYM(gardens, women)
HYPONYM(lawyers, workers)
HYPONYM(military_personnel, americans)
HYPONYM(cuts, injuries)
HYPONYM(maize, commodities)
HYPONYM(snakes, reptiles)
HYPONYM(poets, worthies)
HYPONYM(musicians, members)
HYPONYM(coverage, health_insurance)
HYPONYM(children, americans)
HYPONYM(junk_mail, promotional_materials)
HYPONYM(deer, pests)
HYPONYM(anteaters, animals)
HYPONYM(fashion, aspects)
HYPONYM(recruiters, abusers)
HYPONYM(fuel, chemicals)
HYPONYM(psychics, soothsayers)
HYPONYM(mercury, pollutants)
HYPONYM(russia, hot_spots)
HYPONYM(shareholders, investors)
HYPONYM(guinea, countries)
HYPONYM(grandparents, adults)
HYPONYM(britain, members)
HYPONYM(fighters, sources)
HYPONYM(iguanas, reptiles)
HYPONYM(taxes, expenses)
HYPONYM(beer, alcoholic_beverages)
HYPONYM(augustus, roman_emperors)
HYPONYM(water, things)
HYPONYM(spouses, members)
HYPONYM(rifles, equipment)
HYPONYM(artwork, assets)
HYPONYM(egret, seabirds)
HYPONYM(house, locations)
HYPONYM(dogs, mammals)
HYPONYM(corruption, problems)
HYPONYM(train, new_york_city)
HYPONYM(bridles, necessities)
HYPONYM(newspapers, broadcasters)
HYPONYM(sport_utilities, vehicles)
HYPONYM(gazelles, wildlife)
HYPONYM(siberia, new_york)
HYPONYM(hounds, hunters)
HYPONYM(mexicans, hispanics)
HYPONYM(gaborone, analysts)
HYPONYM(anthropology, social_sciences)
HYPONYM(coffees, pick-me-ups)
HYPONYM(projections, special_effects)
HYPONYM(rape, children)
HYPONYM(therapists, medical_practitioners)
HYPONYM(salt, elements)
HYPONYM(milk, foodstuffs)
HYPONYM(restaurants, benefactors)
HYPONYM(organizations, municipal_governments)
HYPONYM(olives, vegetables)
HYPONYM(amphetamines, stimulants)
HYPONYM(carl_sandburg, lincoln)
HYPONYM(branches, materials)
HYPONYM(turnstiles, equipment)
HYPONYM(refugee, emergencies)
HYPONYM(musicians, performers)
HYPONYM(livers, organs)
HYPONYM(lithography, lifetime)
HYPONYM(assaults, mayhem)
HYPONYM(policies, agenda)
HYPONYM(owners, web_sites)
HYPONYM(families, observers)
HYPONYM(police_detectives, investigators)
HYPONYM(deafness, disabilities)
HYPONYM(use, categories)
HYPONYM(freedom, freedom)
HYPONYM(sheep, creatures)
HYPONYM(pakistan, iraq)
HYPONYM(ministers, supporters)
HYPONYM(proteins, materials)
HYPONYM(sponge, materials)
HYPONYM(teapots, kitchenware)
HYPONYM(container_ships, vessels)
HYPONYM(agents, personnel)
HYPONYM(westerners, foreigners)
HYPONYM(gibbons, matchmakers)
HYPONYM(monterey, aquariums)
HYPONYM(mongolia, new_york)
HYPONYM(president_bush, opponents)
HYPONYM(printers, equipment)
HYPONYM(hospital, workers)
HYPONYM(fence, detritus)
HYPONYM(baseball_caps, head_coverings)
HYPONYM(chief_executive, executives)
HYPONYM(stalinists, authoritarians)
HYPONYM(travel, circumstances)
HYPONYM(hopi, artifacts)
HYPONYM(protesters, lawbreakers)
HYPONYM(rape, women)
HYPONYM(bedspreads, textiles)
HYPONYM(cars, bits)
HYPONYM(renovations, community_service)
HYPONYM(asphalt, cars)
HYPONYM(satellites, sources)
HYPONYM(multiple_sclerosis, ailments)
HYPONYM(sprays, farmers)
HYPONYM(steel, cargo)
HYPONYM(jesus, jews)
HYPONYM(cuts, concessions)
HYPONYM(chairs, restaurants)
HYPONYM(students, critics)
HYPONYM(finland, nations)
HYPONYM(ragtime, times_square)
HYPONYM(water, essentials)
HYPONYM(potassium_cyanide, chemicals)
HYPONYM(grandchildren, members)
HYPONYM(scarves, textiles)
HYPONYM(materials, goods)
HYPONYM(grants, incentives)
HYPONYM(brunei, natural_gas)
HYPONYM(blindfolds, materials)
HYPONYM(france, iraq)
HYPONYM(prevention, agencies)
HYPONYM(bodyguards, loyalists)
HYPONYM(larceny, crimes)
HYPONYM(tokyo, libraries)
HYPONYM(trials, statistical_methods)
HYPONYM(hexes, conceits)
HYPONYM(medicaid, payments)
HYPONYM(morocco, iraq)
HYPONYM(cataracts, diseases)
HYPONYM(life, newspapers)
HYPONYM(brancusi, artists)
HYPONYM(saddles, necessities)
HYPONYM(rice, foodstuffs)
HYPONYM(zebras, wildlife)
HYPONYM(abuse, wrongdoing)
HYPONYM(japan, asian_nations)
HYPONYM(stanford, experts)
HYPONYM(russian, officials)
HYPONYM(malawi, african_countries)
HYPONYM(grease, pollutants)
HYPONYM(ethnicity, diversity)
HYPONYM(causes, information)
HYPONYM(firefighters, commanders)
HYPONYM(ritalin, stimulants)
HYPONYM(perjury, crimes)
HYPONYM(quasars, sources)
HYPONYM(beans, carbohydrates)
HYPONYM(appeals, options)
HYPONYM(motorcycles, consumer_goods)
HYPONYM(breakfast, paris)
HYPONYM(metals, materials)
HYPONYM(teachers, educators)
HYPONYM(undergarments, basics)
HYPONYM(pepperoni, ingredients)
HYPONYM(grief, topics)
HYPONYM(architects, professionals)
HYPONYM(shampoos, consumer_goods)
HYPONYM(landers, vehicles)
HYPONYM(size, standards)
HYPONYM(sonar, equipment)
HYPONYM(building, iraq)
HYPONYM(tourism, human_activities)
HYPONYM(democrats, participants)
HYPONYM(chervil, taproots)
HYPONYM(mice, animals)
HYPONYM(mexico, rivers)
HYPONYM(support, harlem)
HYPONYM(max_ernst, artists)
HYPONYM(parents, investors)
HYPONYM(anthropologists, social_scientists)
HYPONYM(aprons, handiwork)
HYPONYM(cormorants, seabirds)
HYPONYM(ireland, countries)
HYPONYM(caterers, vendors)
HYPONYM(bottles, detritus)
HYPONYM(chanterelle, restaurants)
HYPONYM(amazon, retailers)
HYPONYM(feathers, chicken_coops)
HYPONYM(dublin, ireland)
HYPONYM(pouches, items)
HYPONYM(hand-held_computers, electronic_devices)
HYPONYM(copper, materials)
HYPONYM(movies, television_shows)
HYPONYM(sculpture, art)
HYPONYM(end, utilities)
HYPONYM(nigeria, nations)
HYPONYM(dirt, debris)
HYPONYM(leonardo, giants)
HYPONYM(dancing, celebrations)
HYPONYM(janitors, workers)
HYPONYM(shiitake_mushrooms, vegetables)
HYPONYM(telescopes, devices)
HYPONYM(building, changes)
HYPONYM(restaurants, retail_stores)
HYPONYM(trade, matters)
HYPONYM(turkey, nations)
HYPONYM(asphalt, pavement)
HYPONYM(presidents, decision_makers)
HYPONYM(pilings, materials)
HYPONYM(teachers, residents)
HYPONYM(teachers, critics)
HYPONYM(union, opponents)
HYPONYM(poland, nations)
HYPONYM(disk_drives, storage_devices)
HYPONYM(rapists, deviants)
HYPONYM(preservation, collection)
HYPONYM(governors, officials)
HYPONYM(guangzhou, institutions)
HYPONYM(purchases, agreements)
HYPONYM(recordings, memorabilia)
HYPONYM(lines, equipment)
HYPONYM(oil_changes, maintenance)
HYPONYM(arsenic, contaminants)
HYPONYM(corn, vegetables)
HYPONYM(mortgage, expenses)
HYPONYM(royalties, income)
HYPONYM(ports, parts)
HYPONYM(family, jews)
HYPONYM(isaiah, sources)
HYPONYM(scholars, poets)
HYPONYM(texas, conservatives)
HYPONYM(directions, information)
HYPONYM(teeth, distortions)
HYPONYM(blood, specimens)
HYPONYM(hospitals, service_industries)
HYPONYM(cans, detritus)
HYPONYM(schools, organizations)
HYPONYM(business_executives, proponents)
HYPONYM(george_segal, artists)
HYPONYM(parents, educators)
HYPONYM(services, areas)
HYPONYM(tax, incentives)
HYPONYM(surveillance_systems, equipment)
HYPONYM(insurers, service_industries)
HYPONYM(treasury_bonds, securities)
HYPONYM(times_square, restaurants)
HYPONYM(judges, professionals)
HYPONYM(comments, remarks)
HYPONYM(organs, body_parts)
HYPONYM(lytton_strachey, writers)
HYPONYM(notepads, essentials)
HYPONYM(guatemala, countries)
HYPONYM(african-americans, students)
HYPONYM(lawyers, legal_experts)
HYPONYM(spastic_paralysis, neurological_disorders)
HYPONYM(paintings, media)
HYPONYM(john_singer_sargent, artists)
HYPONYM(obstetricians, health_professionals)
HYPONYM(movies, elements)
HYPONYM(kittens, animals)
HYPONYM(gas, essentials)
HYPONYM(priests, staff_members)
HYPONYM(arrows, items)
HYPONYM(canned_goods, handiwork)
HYPONYM(deed, restrictions)
HYPONYM(vodka, alcoholic_beverages)
HYPONYM(arsenic, sources)
HYPONYM(airfare, travel_expenses)
HYPONYM(trophies, tokens)
HYPONYM(messages, items)
HYPONYM(education, priorities)
HYPONYM(cafes, foreigners)
HYPONYM(commodore_perry, westerners)
HYPONYM(mice, rodents)
HYPONYM(men, co-defendants)
HYPONYM(students, educators)
HYPONYM(satellites, bodies)
HYPONYM(lead, hazards)
HYPONYM(address, information)
HYPONYM(scallops, items)
HYPONYM(bridges, architecture)
HYPONYM(chairman, top_executives)
HYPONYM(candy, snack_foods)
HYPONYM(amazon, merchants)
HYPONYM(sea_turtles, animals)
HYPONYM(vans, vehicles)
HYPONYM(partner, witnesses)
HYPONYM(guatemala, nations)
HYPONYM(marsh, investors)
HYPONYM(family, visitors)
HYPONYM(companions, artifacts)
HYPONYM(tree_branches, debris)
HYPONYM(construction, applications)
HYPONYM(iraq, african_nations)
HYPONYM(thailand, nations)
HYPONYM(logs, bits)
HYPONYM(reporters, officials)
HYPONYM(congestive_heart_failure, maladies)
HYPONYM(tajikistan, countries)
HYPONYM(blankets, basics)
HYPONYM(stoves, appliances)
HYPONYM(syria, african_nations)
HYPONYM(durban, south_africa)
HYPONYM(spanish, languages)
HYPONYM(coyotes, animals)
HYPONYM(games, areas)
HYPONYM(states, sources)
HYPONYM(keyboard, peripherals)
HYPONYM(rubies, precious_stones)
HYPONYM(contraception, procedures)
HYPONYM(fishermen, residents)
HYPONYM(chopin, artists)
HYPONYM(staff_members, critics)
HYPONYM(insurance_companies, financial_institutions)
HYPONYM(foundations, sources)
HYPONYM(beds, furniture)
HYPONYM(gonorrhea, diseases)
HYPONYM(engines, components)
HYPONYM(weddings, celebrations)
HYPONYM(sri_lanka, countries)
HYPONYM(humans, great_apes)
HYPONYM(insurance, expenses)
HYPONYM(marsh, insurance_brokers)
HYPONYM(title, information)
HYPONYM(context, information)
HYPONYM(salaries, expenses)
HYPONYM(museums, institutions)
HYPONYM(investment_firms, financial_institutions)
HYPONYM(chairman, candidates)
HYPONYM(pesticides, chemicals)
HYPONYM(politics, topics)
HYPONYM(gas, pollutants)
HYPONYM(civil_defense, public_services)
HYPONYM(palm_beach, counties)
HYPONYM(itineraries, data)
HYPONYM(aluminum, materials)
HYPONYM(weight, information)
HYPONYM(graphics, information)
HYPONYM(boot, flotsam)
HYPONYM(linchpin, baghdad)
HYPONYM(sleeping_bags, equipment)
HYPONYM(economists, scholars)
HYPONYM(newspapers, news_organizations)
HYPONYM(families, new_york)
HYPONYM(patches, hormones)
HYPONYM(poles, equipment)
HYPONYM(housing, kuwait)
HYPONYM(roebuck, retailers)
HYPONYM(meat, foods)
HYPONYM(teachers, workers)
HYPONYM(taxes, restrictions)
HYPONYM(heart_attacks, cardiovascular_diseases)
HYPONYM(chants, demonstrations)
HYPONYM(underwriters, experts)
HYPONYM(metaphors, abstractions)
HYPONYM(parents, critics)
HYPONYM(delta, carriers)
HYPONYM(dean, members)
HYPONYM(somalia, disaster_areas)
HYPONYM(papers, memorabilia)
HYPONYM(epilepsy, neurological_disorders)
HYPONYM(pornography, indecency)
HYPONYM(austria, nations)
HYPONYM(spacecraft, equipment)
HYPONYM(hedgehogs, mammals)
HYPONYM(fennel, taproots)
HYPONYM(hummers, consumers)
HYPONYM(route, new_jersey)
HYPONYM(works, sculpture)
HYPONYM(jackie_robinson, dodgers)
HYPONYM(senior_vice_president, grandchildren)
HYPONYM(sites, clues)
HYPONYM(coriander, taproots)
HYPONYM(rhinoceroses, animals)
HYPONYM(kazakhstan, new_york)
HYPONYM(snow, weather_conditions)
HYPONYM(politicians, guests)
HYPONYM(agoraphobia, ills)
HYPONYM(attorneys, vendors)
HYPONYM(gold, ores)
HYPONYM(president_bush, politicians)
HYPONYM(myelin, membranes)
HYPONYM(india, iraq)
HYPONYM(maintenance, expenses)
HYPONYM(manuals, things)
HYPONYM(tree_trunks, debris)
HYPONYM(fans, kickers)
HYPONYM(drawings, media)
HYPONYM(abortions, procedures)
HYPONYM(hookworms, animals)
HYPONYM(cannibalism, behavior)
HYPONYM(parrots, animals)
HYPONYM(sky, windows)
HYPONYM(cougars, wildlife)
HYPONYM(service, considerations)
HYPONYM(iraq, voters)
HYPONYM(mike, children)
HYPONYM(tripe, offal)
HYPONYM(smoke, pollutants)
HYPONYM(trichinae, animals)
HYPONYM(architects, individuals)
HYPONYM(memorandums, correspondence)
HYPONYM(inventories, assets)
HYPONYM(cosmetics, consumer_goods)
HYPONYM(faith, solutions)
HYPONYM(baghdad, institutions)
HYPONYM(pimps, hustlers)
HYPONYM(resolution, settings)
HYPONYM(administrators, staff_members)
HYPONYM(humans, mammals)
HYPONYM(california, countries)
HYPONYM(legal_fees, expenses)
HYPONYM(cigarette_lighters, keepsakes)
HYPONYM(turtles, creatures)
HYPONYM(terrorists, extremists)
HYPONYM(south_korea, iraq)
HYPONYM(pay, matters)
HYPONYM(bahrain, countries)
HYPONYM(antiques, trophies)
HYPONYM(scallops, seafood)
HYPONYM(rapes, sexual_assaults)
HYPONYM(coal, minerals)
HYPONYM(daughter, campers)
HYPONYM(uzbeks, arabs)
HYPONYM(grandmother, relatives)
HYPONYM(calendar, data)
HYPONYM(mozart, composers)
HYPONYM(ben_hecht, clients)
HYPONYM(bacteria, microbes)
HYPONYM(slovakia, countries)
HYPONYM(tubes, parts)
HYPONYM(dolls, bits)
HYPONYM(bombs, weapon_systems)
HYPONYM(celebrities, locals)
HYPONYM(scratches, damage)
HYPONYM(tickets, information)
HYPONYM(contractors, employees)
HYPONYM(friend, women)
HYPONYM(drivers, system)
HYPONYM(drinking, entertainments)
HYPONYM(van, cars)
HYPONYM(researchers, specialists)
HYPONYM(typhoons, high_winds)
HYPONYM(rwanda, disaster_areas)
